seed,epsilon,step_size,heuristic,episodes_requested,episodes_to_converge,elapsed_seconds
126,0.05,0.5,random,1000000,224547,417.99
126,0.05,0.5,tcd,1000000,195185,356.14
127,0.05,0.5,random,1000000,200676,372.46
127,0.05,0.5,tcd,1000000,149118,266.6
128,0.05,0.5,random,1000000,162123,288.43
128,0.05,0.5,tcd,1000000,112231,188.36
129,0.05,0.5,random,1000000,189229,351.74
129,0.05,0.5,tcd,1000000,123535,216.7
130,0.05,0.5,random,1000000,173859,360.95
130,0.05,0.5,tcd,1000000,151241,289.09
